Aakash Chopra,Aakash Shyamlal Chopra,19-09-1977,India,"Agra, Uttar Pradesh, India",India,"India, Kolkata Knight Riders",Right-hand bat,Right-arm medium
Aamer Hameed,Aamer Hameed,18-10-1954,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Aamer Hanif,Aamer Hanif,04-10-1967,Pakistan,"Karachi, Sind, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm medium
Aamer Malik,Aamer Malik,03-01-1963,Pakistan,"Mandi Bahauddin, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Aamer Nazir,Aamer Nazir,02-01-1971,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Aamer Sohail,Mohammad Aamer Sohail Ali,14-09-1966,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Left-hand bat,Slow left-arm
Aaqib Javed,Aaqib Javed,05-08-1972,Pakistan,"Sheikhupura, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Aaron Finch,Aaron James Finch,17-11-1986,Australia,"Colac, Victoria, Australia",Australia,"Australia, Victoria, Delhi Daredevils, Rajasthan Royals, Mumbai Indians, Pune Warriors, Sunrisers, Gujarat Lions",Right-hand bat,Slow left-arm
Aaron O'Brien,Aaron Warren O'Brien,02-10-1981,Australia,"St Leonards, New South Wales, Australia",Australia,South Australia,Left-hand bat,Slow left-arm
Aaron Phangiso,Aaron Mpho Phangiso,21-01-1984,South Africa,"Garunkuwa, Transvaal, South Africa",South Africa,"South Africa, Lions",Right-hand bat,Slow left-arm
Aaron Redmond,Aaron James Redmond,23-09-1979,New Zealand,"Auckland, New Zealand",New Zealand,"Otago,
New Zealand",Right-hand bat,Leg-break
Aashish Kapoor,Aashish Rakesh Kapoor,25-03-1971,India,"Madras (now Chennai), Tamil Nadu, India",India,India,Right-hand bat,Off-break
Aasif Karim,Aasif Yusuf Karim,15-12-1963,Kenya,"Mombasa, Kenya",Kenya,Kenya,Right-hand bat,Slow left-arm
Aavishkar Salvi,Aavishkar Madhav Salvi,20-10-1981,India,"Bombay (now Mumbai), Maharashtra, India",India,"India, Delhi Daredevils",Right-hand bat,Right-arm medium
AB de Villiers,Abraham Benjamin de Villiers,17-02-1984,South Africa,"Pretoria, Transvaal, South Africa",South Africa,"South Africa, Titans, African XI, Royal Challengers Bangalore, Delhi Daredevils",Right-hand bat,Right-arm medium
Abbas Ali Baig,Abbas Ali Baig,19-03-1939,India,"Hyderabad, Andhra Pradesh, India",India,India,Right-hand bat,Leg-break
Abdool Samad,Abdool Mudassar Samad,03-05-1979,Guyana,Guyana,Canada,Canada,Right-hand bat,Off-break
Abdul Jabbar,Abdul Jabbar Chaudrey,01-03-1983,Pakistan,"Rawalpindi, Punjab, Pakistan",Canada,Canada,Right-hand bat,Right-arm medium
Abdul Kadir,Abdul Kadir,10-05-1944,India,"Karachi, Sind (now in Pakistan), India",Pakistan,Pakistan,Right-hand bat,
Abdul Kardar,Abdul Hafeez Kardar,17-01-1925,India,"Lahore, Punjab (now in Pakistan), India",Pakistan,"Pakistan,
India",Left-hand bat,Slow left-arm
Abdul Qadir,Abdul Qadir Khan,15-09-1955,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Leg-break googly
Abdul Razzaq,Abdul Razzaq,02-12-1979,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,"Leicestershire,
Pakistan, Asian Cricket Council XI",Right-hand bat,Right-arm fast-medium
Abdul Rehman,Abdul Rehman,02-01-1987,United Arab Emirates,"Ajman, United Arab Emirates",United Arab Emirates,United Arab Emirates,Right-hand bat,
Abdullah Mazari,Abdullah Mazari,07-03-1987,Afghanistan,"Mazharsherfa, Afghanistan",Afghanistan,Afghanistan,Left-hand bat,Slow left-arm
Abdur Rauf,Abdur Rauf Khan,09-12-1978,Pakistan,"Renala Khurd, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Abdur Razzak,Khan Abdur Razzak,15-06-1982,Bangladesh,"Khulna, Bangladesh",Bangladesh,"Bangladesh, Royal Challengers Bangalore",Left-hand bat,Slow left-arm
Abdur Rehman,Abdur Rehman,01-03-1980,Pakistan,"Sialkot, Punjab, Pakistan",Pakistan,Pakistan,Left-hand bat,Slow left-arm
Abe Waddington,Abraham Waddington,04-02-1893,England,"Clayton, Thornton, Yorkshire, England",England,England,Right-hand bat,Left-arm fast-medium
Abey Kuruvilla,Abey Kuruvilla,04-08-1968,India,"Mannar, Allepey (now Alappuzha), Kerala, India",India,India,Right-hand bat,Right-arm fast-medium
Abhijit Kale,Abhijit Vasant Kale,03-07-1973,India,"Ahmednagar, Maharashtra, India",India,India,Right-hand bat,Off-break
Abhimanyu Mithun,Abhimanyu Mithun,25-10-1989,India,"Dasarahalli, Karnataka, India",India,"India, Royal Challengers Bangalore",Right-hand bat,Right-arm medium
Abhinav Mukund,Abhinav Mukund,06-01-1990,India,"Madras (now Chennai), Tamil Nadu, India",India,"India, Royal Challengers Bangalore, Chennai Super Kings",Left-hand bat,Leg-break googly
Abhishek Nayar,Abhishek Mohan Nayar,26-10-1983,India,"Secunderabad, Andhra Pradesh, India",India,"India, Rajasthan Royals, Kings XI Punjab, Mumbai Indians, Pune Warriors",Left-hand bat,Right-arm medium
Abul Hasan,Mohammad Abul Hasan,05-08-1992,Bangladesh,"Kulaura, Sylhet, Bangladesh",Bangladesh,Bangladesh,Left-hand bat,Right-arm medium-fast
Abzal Dean,Abzal S Dean,23-02-1983,Trinidad and Tobago,"San Fernando, Trinidad",Canada,Canada,Left-hand bat,Off-break
Adam Bacher,Adam Marc Bacher,29-10-1973,South Africa,"Johannesburg, Transvaal, South Africa",South Africa,South Africa,Right-hand bat,Right-arm medium
Adam Dale,Adam Craig Dale,30-12-1968,Australia,"Ivanhoe, Victoria, Australia",Australia,Australia,Left-hand bat,Right-arm fast-medium
Adam Dibble,Adam John Dibble,09-03-1991,England,"Exeter, Devon, England",,Somerset,Right-hand bat,Right-arm medium-fast
Adam Gilchrist,Adam Craig Gilchrist,14-11-1971,Australia,"Bellingen, New South Wales, Australia",Australia,"Australia, ICC World XI, Deccan Chargers, Kings XI Punjab",Left-hand bat,Off-break
Adam Hollioake,Adam John Hollioake,05-09-1971,Australia,"Melbourne, Victoria, Australia",England,England,Right-hand bat,Right-arm medium
Adam Huckle,Adam George Huckle,21-09-1971,Zimbabwe,"Bulawayo, Zimbabwe",Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Adam Lyth,Adam Lyth,25-09-1987,England,"Whitby, Yorkshire, England",England,"Yorkshire,
England",Left-hand bat,Off-break
Adam Milne,Adam Fraser Milne,13-04-1992,New Zealand,"Palmerston North, Manawatu, New Zealand",New Zealand,"Central Districts,
New Zealand, Royal Challengers Bangalore",Right-hand bat,Right-arm fast
Adam Parore,Adam Craig Parore,23-01-1971,New Zealand,"Auckland, New Zealand",New Zealand,New Zealand,Right-hand bat,
Adam Sanford,Adam Sanford,12-07-1975,Dominica,Dominica,West Indies,West Indies,Right-hand bat,Right-arm fast-medium
Adam Voges,Adam Charles Voges,04-10-1979,Australia,"Subiaco, Western Australia, Australia",Australia,"Australia, Rajasthan Royals, Perth Scorchers",Right-hand bat,Slow left-arm
Adeel Raja,Mohammad Adeel Khalid Raja,15-08-1980,Pakistan,"Lahore, Punjab, Pakistan",Netherlands,Netherlands,Right-hand bat,Off-break
Adil Rashid,Adil Usman Rashid,17-02-1988,England,"Bradford, Yorkshire, England",England,"South Australia, Yorkshire,
England",Right-hand bat,Leg-break googly
Adnan Akmal,Adnan Akmal,13-03-1985,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,
Adrian Barath,Adrian Boris Barath,14-04-1990,Trinidad and Tobago,"Chaguanas, Trinidad",West Indies,"Trinidad and Tobago, West Indies, Kings XI Punjab",Right-hand bat,Off-break
Adrian Griffith,Adrian Frank Gordon Griffith,19-11-1971,Barbados,"Holders Hill, St James, Barbados",West Indies,West Indies,Left-hand bat,Right-arm medium
Adrian Kuiper,Adrian Paul Kuiper,24-08-1959,South Africa,"Johannesburg, Transvaal, South Africa",South Africa,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Afaq Hussain,Afaq Hussain,31-12-1939,India,"Lucknow, Uttar Pradesh, India",Pakistan,Pakistan,Right-hand bat,Off-break
Affie Jarvis,Arthur Harwood Jarvis,19-10-1860,Australia,"Hindmarsh, Adelaide, South Australia, Australia",Australia,Australia,Right-hand bat,
Afsar Zazai,Afsar Khan Zazai,10-08-1993,Afghanistan,"Kabul, Afghanistan",Afghanistan,Afghanistan,Right-hand bat,
Aftab Ahmed,Aftab Ahmed Chowdhury,10-11-1985,Bangladesh,"Chittagong, Bangladesh",Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Aftab Alam,Aftab Alam,30-11-1992,Pakistan,"Kacha Gari, Peshawar, North-West Frontier Province, Pakistan",Afghanistan,Afghanistan,Right-hand bat,Right-arm medium-fast
